Index,Label
1,0
2,0
3,1
4,0
5,0
6,1
7,0
8,0
9,0
10,0
11,1
12,1
13,0
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,1
47,0
48,1
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,0
58,0
59,0
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,0
71,0
72,0
73,1
74,1
75,0
76,0
77,1
78,0
79,0
80,0
81,1
82,0
83,0
84,0
85,1
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,0
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,0
138,0
139,1
140,0
141,1
142,0
143,0
144,0
145,0
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,0
154,0
155,0
156,0
157,1
158,1
159,0
160,1
161,0
162,0
163,0
164,0
165,1
166,1
167,1
168,0
169,0
170,1
171,0
172,1
173,1
174,0
175,1
176,1
177,0
178,0
179,1
180,0
181,0
182,1
183,1
184,0
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,1
193,0
194,1
195,1
196,1
197,0
198,1
199,0
200,1
201,1
202,0
203,0
204,0
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,1
217,0
218,0
219,0
220,1
221,1
222,0
223,0
224,1
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,1
235,1
236,0
237,0
238,0
239,0
240,0
241,1
242,0
243,1
244,0
245,0
246,0
247,1
248,1
249,0
250,0
251,0
252,0
253,0
254,0
255,1
256,0
257,0
258,0
259,1
260,0
261,0
262,1
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,1
303,1
304,0
305,1
306,0
307,0
308,1
309,1
310,0
311,1
312,1
313,1
314,1
315,0
316,0
317,0
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,1
328,0
329,1
330,1
331,0
332,1
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,0
341,1
342,1
343,0
344,0
345,0
346,0
347,0
348,1
349,0
350,0
351,0
352,0
353,1
354,0
355,1
356,1
357,0
358,0
359,0
360,1
361,0
362,0
363,0
364,0
365,1
366,0
367,0
368,1
369,0
370,0
371,0
372,0
373,1
374,0
375,0
376,0
377,0
378,1
379,0
380,1
381,0
382,0
383,0
384,0
385,1
386,0
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,1
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,1
405,0
406,1
407,0
408,0
409,1
410,0
411,0
412,1
413,1
414,0
415,1
416,0
417,0
418,0
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,0
428,1
429,0
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,0
439,0
440,1
441,1
442,1
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,0
451,1
452,0
453,0
454,0
455,0
456,0
457,1
458,0
459,0
460,1
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,0
469,1
470,0
471,0
472,0
473,0
474,1
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,0
487,1
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,1
497,0
498,0
499,0
500,1
501,0
502,1
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,0
514,1
515,1
516,0
517,1
518,1
519,0
520,0
521,0
522,0
523,1
524,1
525,0
526,1
527,1
528,1
529,0
530,0
531,0
532,1
533,0
534,0
535,1
536,0
537,1
538,1
539,1
540,1
541,1
542,0
543,1
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,0
552,1
553,0
554,1
555,0
556,0
557,0
558,1
559,0
560,1
561,1
562,0
563,0
564,1
565,1
566,1
567,1
568,0
569,0
570,0
571,1
572,0
573,1
574,0
575,0
576,1
577,0
578,0
579,1
580,0
581,0
582,1
583,0
584,0
585,1
586,0
587,1
588,1
589,0
590,1
591,1
592,1
593,0
594,1
595,0
596,0
597,1
598,0
599,0
600,1
601,0
602,0
603,0
604,1
605,0
606,0
607,1
608,0
609,1
610,0
611,0
612,1
613,0
614,0
615,0
616,1
617,1
618,0
619,0
620,0
621,1
622,0
623,0
624,0
625,0
626,0
627,1
628,1
629,1
630,1
631,1
632,0
633,1
634,1
635,0
636,0
637,0
638,0
639,1
640,0
641,1
642,0
643,0
644,0
645,0
646,1
647,0
648,0
649,0
650,0
651,1
652,0
653,0
654,0
655,0
656,0
657,1
658,1
659,0
660,1
661,1
662,0
663,1
664,0
665,1
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,1
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,1
685,1
686,0
687,0
688,0
689,0
690,0
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,1
701,1
702,0
703,1
704,0
705,0
706,0
707,1
708,0
709,1
710,1
711,0
712,1
713,0
714,1
715,0
716,0
717,0
718,0
719,0
720,1
721,1
722,0
723,0
724,0
725,1
726,0
727,1
728,0
729,0
730,1
731,1
732,0
733,0
734,0
735,0
736,1
737,1
738,0
739,1
740,0
741,1
742,0
743,1
744,1
745,0
746,0
747,1
748,0
749,0
750,1
751,1
752,0
753,0
754,1
755,1
756,1
757,1
758,1
759,0
760,0
761,0
762,1
763,1
764,0
765,1
766,0
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,1
776,0
777,1
778,0
779,1
780,1
781,0
782,0
783,0
784,1
